id,text,input_form_metadata_variant,verdict,category,needs_info,notes
C01,ส่งงานด่วนนะครับ พรุ่งนี้เช้าอาจารย์จะตรวจ,direct · —,,,,
C02,ด่วน! Flash Sale ลด 50% วันนี้วันเดียว ที่ Shopee,direct · —,,,,
C03,ของถูกมาก แต่ต้องจองภายในวันนี้,direct · —,,,,
C04,แม่โอนเงินค่าเทอมให้ด่วนหน่อย พรุ่งนี้วันสุดท้าย,direct · metadata: ผู้ส่ง = เบอร์ที่ผู้รับบันทึกไว้ (consent form ระบุว่าเป็นลูก),,,,
C05,แม่โอนเงินค่าเทอมให้ด่วนหน่อย พรุ่งนี้วันสุดท้าย,direct · — (ไม่มี metadata),,,,
C06,รหัส OTP ของคุณคือ 482913 ห้ามบอกรหัสนี้กับผู้อื่น,direct · —,,,,
C07,SCB: รายการโอนเงิน 500.00 บาท ไปยัง xxx-x-x1234 เวลา 10:15 น.,direct · —,,,,
C08,บัญชีของคุณถูกระงับ กรุณายืนยันตัวตนด่วนที่ลิงก์นี้ http://scb-verify.xyz,direct · —,,,,
C09,ระบบแจ้งให้ยืนยันข้อมูลบางอย่างภายในวันนี้,direct · —,,,,
C10,กสิกรไทย ยกเลิกส่ง SMS แบบลิงก์ เพิ่มความปลอดภัย มีผลตั้งแต่วันนี้,direct · —,,,,
C11,"คุณเป็นผู้โชคดีได้รับวงเงินกู้จาก ธปท. 200,000 บาท",direct · —,,,,
C12,"คุณเป็นผู้โชคดีได้รับวงเงินกู้จาก ธปท. 200,000 บาท กดรับสิทธิ์ที่ <URL>",direct · `<URL>` = มี URL จริง (ดู source ตามข้อ 6),,,,
C13,หวัดดี เปลี่ยนเบอร์ใหม่นะ เซฟไว้ด้วย,direct · —,,,,
C14,"หวัดดี เปลี่ยนเบอร์ใหม่นะ ขอยืมเงิน 5,000 ด่วน เดี๋ยวคืนพรุ่งนี้",direct · —,,,,
C15,ขอโทษที่รบกวน ฉันอ่านโปรไฟล์คุณบน LinkedIn อยากเรียนรู้จากคุณ,direct · —,,,,
C16,"งานออนไลน์ กดไลค์ได้เงิน วันละ 500-2,000 บาท สนใจทัก LINE @job888",direct · —,,,,
C17,"งานออนไลน์ได้เงินวันละ 10,000 ไม่ต้องสัมภาษณ์ สมัครด่วน",direct · —,,,,
C18,"งานออนไลน์ได้เงินวันละ 10,000 ไม่ต้องสัมภาษณ์ สมัครด่วน inbox ได้","direct · variant: ""ทัก DM""",,,,
C19,ร้านกาแฟแถวรังสิตรับพาร์ทไทม์ ชั่วโมงละ 70 บาท มีสัมภาษณ์หน้าร้าน ทัก DM,"direct · variant: ""inbox ได้""",,,,
C20,สมัครงานง่ายๆ ได้เงินเร็ว แต่ต้องจ่ายค่าสมัครก่อน ทัก DM,"direct · variant: ""line: @id""",,,,
C21,ขอเลขบชพร้อมเพย์หน่อยคับ จะโอนค่าชีท,"direct · variant: ""ทัก DM"" / ""inbox ได้""",,,,
C22,ขอเลขบัญชีพร้อมเพย์หน่อยครับ จะโอนค่าชีท line: @id,direct · —,,,,
C23,มีใครขายชีท SC135 บ้างครับ line: @id,direct · —,,,,
C24,ขอโอนเต็มก่อน เดี๋ยวส่งเลขพัสดุให้,direct · — (= ผู้ขายไม่รู้จัก),,,,
C25,ของอยู่ต่างจังหวัด โอนก่อนส่งเท่านั้น ราคาพิเศษถึงวันนี้,"direct · — · variant: ""inbox ได้""",,,,
C26,รีบโอนก่อนนะ เหลือคนเดียวแล้ว,"direct · — · variant: ""ทัก DM""",,,,
C27,รีบโอนก่อนนะ เหลือคนเดียวแล้ว line: @id,direct · —,,,,
C28,มีคนจองหลายคน ถ้าเอาโอนมัดจำมาก่อนได้เลย ทัก DM,direct · —,,,,
C29,โอนเต็มก่อนเท่านั้น ไม่รับนัด ไม่รับวิดีโอคอล inbox ได้,direct · —,,,,
C30,บัญชีนี้ของแฟนเราเอง ปลอดภัยแน่นอน โอนมาเลย,"direct · variant: ""inbox ได้""",,,,
C31,ทักไลน์อย่างเดียวคับ ไม่ค่อยตอบในกลุ่ม,direct · —,,,,
C32,ทักไลน์อย่างเดียวคับ ไม่ค่อยตอบในกลุ่ม line: @id,direct · —,,,,
C33,มีคนขอรหัสยืนยัน บอกว่าเป็นแอดมินกลุ่ม,narrative · —,,,,
C34,อ้างว่าเป็นรุ่นพี่คณะ ขอให้โอนเงินช่วยจองสิทธิ์,narrative · —,,,,
C35,รุ่นพี่ฝากบอกให้โอนค่าชีทด่วน ไม่งั้นหมดสิทธิ์,"direct (ส่งต่อคำสั่งถึงผู้อ่าน) · — · variant: ""ส่งในกลุ่มได้เลย""",,,,
C36,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ พร้อมเพย์ 08x-xxx-xxxx ภายในวันนี้,direct · —,,,,
C37,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ บัญชี xxx123 ภายในวันนี้,direct · —,,,,
C38,มีลิงก์ให้กรอกข้อมูลเพื่อรับสิทธิ์ ลองเช็คก่อนนะ,"direct (ชวนผู้อ่าน; ""ลองเช็คก่อนนะ"" = คำกันเหนียว ไม่มีน้ำหนัก) · —",,,,
C38b,มีลิงก์รายละเอียดกิจกรรมส่งมาในกลุ่ม ลองดูนะ,direct · —,,,,
C39,ลด 90% วันนี้เท่านั้น bit.ly/xxxx,direct · —,,,,
