id,text,input_form_metadata_variant,verdict,category,needs_info,notes
C01,ส่งงานด่วนนะครับ พรุ่งนี้เช้าอาจารย์จะตรวจ,direct · —,caution,,,หากไม่ส่งงานอาจโดนหักคะแนน
C02,ด่วน! Flash Sale ลด 50% วันนี้วันเดียว ที่ Shopee,direct · —,safe,,,
C03,ของถูกมาก แต่ต้องจองภายในวันนี้,direct · —,caution,,,หากพลาดสินค้าลดวันนี้อาจต้องรอลดอีกนาน
C04,แม่โอนเงินค่าเทอมให้ด่วนหน่อย พรุ่งนี้วันสุดท้าย,direct · metadata: ผู้ส่ง = เบอร์ที่ผู้รับบันทึกไว้ (consent form ระบุว่าเป็นลูก),caution,,account_name_match,ควรเช็ค บัญชี้ก่อนโอนเป็นของลูกไหม
C05,แม่โอนเงินค่าเทอมให้ด่วนหน่อย พรุ่งนี้วันสุดท้าย,direct · — (ไม่มี metadata),danger,,,
C06,รหัส OTP ของคุณคือ 482913 ห้ามบอกรหัสนี้กับผู้อื่น,direct · —,danger,,,
C07,SCB: รายการโอนเงิน 500.00 บาท ไปยัง xxx-x-x1234 เวลา 10:15 น.,direct · —,caution,,,ถ้าตัวเองเป็นคนทำรายการโอนเงินนี้ก็ไม่มีปัญหา
C08,บัญชีของคุณถูกระงับ กรุณายืนยันตัวตนด่วนที่ลิงก์นี้ http://scb-verify.xyz,direct · —,danger,,,
C09,ระบบแจ้งให้ยืนยันข้อมูลบางอย่างภายในวันนี้,direct · —,danger,,,
C10,กสิกรไทย ยกเลิกส่ง SMS แบบลิงก์ เพิ่มความปลอดภัย มีผลตั้งแต่วันนี้,direct · —,safe,,,
C11,"คุณเป็นผู้โชคดีได้รับวงเงินกู้จาก ธปท. 200,000 บาท",direct · —,caution,,,อาจจะเป็นข้อความจริงหรือหลอกก็ได้
C12,"คุณเป็นผู้โชคดีได้รับวงเงินกู้จาก ธปท. 200,000 บาท กดรับสิทธิ์ที่ <URL>",direct · `<URL>` = มี URL จริง (ดู source ตามข้อ 6),danger,,,
C13,หวัดดี เปลี่ยนเบอร์ใหม่นะ เซฟไว้ด้วย,direct · —,caution,,sender_identity,ปลายทางไม่ระบุว่าเป็นใครให้ขอเซฟเบอร์
C14,"หวัดดี เปลี่ยนเบอร์ใหม่นะ ขอยืมเงิน 5,000 ด่วน เดี๋ยวคืนพรุ่งนี้",direct · —,danger,,,ระบุตัวตนคนยืมไม่ได้ มีสิทธิ์เป็นมิจฉาชีพสูง
C15,ขอโทษที่รบกวน ฉันอ่านโปรไฟล์คุณบน LinkedIn อยากเรียนรู้จากคุณ,direct · —,safe,,,อาจจะติดต่อสอบถามเฉยๆ
C16,"งานออนไลน์ กดไลค์ได้เงิน วันละ 500-2,000 บาท สนใจทัก LINE @job888",direct · —,danger,,,งานง่ายได้เงินเยอะเข้าค่ายหลอกลวงให้ทำงานผิดกฎหมาย
C17,"งานออนไลน์ได้เงินวันละ 10,000 ไม่ต้องสัมภาษณ์ สมัครด่วน",direct · —,danger,,,
