id,text,label,category,risk_score_expected,language_style,platform,has_url,has_phone,has_bank,has_otp,has_money,has_urgency,has_reward,has_job,text_length,noise_type,expected_reason
1,บัญชีคุณถูกระงับ กรุณายืนยันตัวตนทันทีที่ tu-form.example.invalid line: @fakeid,scam,phishing,0.83,slang,Email,1,0,1,1,0,1,0,0,79,none,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
2,มีคนขอรหัสยืนยัน บอกว่าเป็นแอดมินกลุ่ม ASAP,suspicious,otp_risk,0.56,slang,SMS,0,0,0,1,0,0,0,0,43,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
3,คุณได้รับสิทธิ์ทุนพิเศษ โอนค่าดำเนินการ 1500 บาทก่อนรับทุน 🥺,scam,fake_scholarship,0.93,casual,SMS,0,0,0,0,1,0,1,0,60,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
4,มีลิงก์ให้กรอกข้อมูลเพื่อรับสิทธิ์ ลองเช็คก่อนนะ 👍⚠️,suspicious,phishing_risk,0.63,slang,LINE,1,0,0,0,0,0,0,0,52,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
5,ขอแนวข้อสอบ MA211 น่อยคับ,normal,tu_general,0.11,formal,IG DM,0,0,0,0,0,0,0,0,25,typo,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
6,คุณได้รับสิทธิ์ทุนพิเศษ โอนค่าดำเนินการ 300 บาทก่อนรับทุน DM me inbox ได้,scam,fake_scholarship,0.82,thai_english_mix,Facebook Group,0,0,0,0,1,0,1,0,73,thai_english_mix,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
7,job online รายได้สูง ไม่ต้องมีประสบการณ์ โอนค่าประกันก่อนเริ่มงาน ✅📌,scam,job_scam,0.99,thai_english_mix,SMS,0,0,0,0,1,0,0,1,68,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้
8,หาคนช่วยงานอีเวนต์ในมอ มีรายละเอียดงานและสถานที่ชัดเจน pls ทัก DM,normal,tu_job_real,0.07,emoji,Web Form,0,0,0,0,0,0,0,1,65,thai_english_mix,มีบริบทสมัครงาน/รายได้; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
9,อาจารย์ส่ง link zoom ใน classroom แล้วนะ 💬,normal,meeting,0.11,emoji,Facebook Group,1,0,0,0,0,0,0,0,42,emoji,มีลิงก์หรือการชวนคลิกลิงก์; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
10,รีบโอนก่อนนะะะ เหลือคนเดียวแล้ว,suspicious,marketplace_risk,0.52,thai_english_mix,IG DM,0,0,0,0,1,1,0,0,31,repeat_chars,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
11,ประกาศจากคณะให้กรอกแบบประเมินรายวิชาในระบบทางการ 📌🚨 ทัก DM,normal,admin_real,0.28,emoji,Web Form,0,0,0,0,0,0,0,0,58,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
12,บัญชีนี้ของแฟนเราเอง ปลอดภัยแน่นอน โอนมาเลย 🔥💸,scam,marketplace_scam,0.97,slang,Discord,0,0,1,0,1,0,0,0,46,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
13,ขอเลขบัญชีพร้อมเพย์หน่อยครับ จะโอนค่าชีท 😅,normal,tu_marketplace,0.21,thai_english_mix,Facebook Group,0,0,1,0,1,0,0,0,42,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
14,ขายหนังสือ SC135 มือสอง นัดรับ หอสมุดป๋วย ได้ verify pls,normal,tu_marketplace,0.05,thai_english_mix,Facebook Group,0,0,0,1,0,0,0,0,56,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
15,Your account has been suspended verify now example.invalid/verify 🚨🙏,scam,phishing,0.96,casual,LINE,1,0,0,1,0,1,0,0,68,emoji,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
16,กดลิงก์รับเงินคืนค่าธรรมเนียมการศึกษา [URL] 🚨💬,scam,refund_scam,0.96,emoji,SMS,1,0,0,0,1,0,1,0,46,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
17,ใครเจอบัตรนักศึกษาที่ หน้าโดม ทักมาหน่อยครับ pls,normal,tu_general,0.06,formal,TU Marketplace,0,0,0,0,0,0,0,0,48,thai_english_mix,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
18,หอพักแถวเชียงรากเดือนละไม่เกิน 3500 มีแนะนำไหม 🥺🔥,normal,tu_general,0.26,slang,TU Marketplace,0,0,0,0,0,0,0,0,49,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
19,เจ้าหน้าที่มหาลัยขอ username password เพื่อตรวจสอบสถานะ ✅🥺,scam,impersonation,0.97,short_message,IG DM,0,0,0,0,0,0,0,0,58,emoji,
20,งานออนไลน์รายได้สูงมาก ไม่ต้องสัมภาษณ์ แค่ทักแชท 🥺 inbox ได้,suspicious,job_risk,0.48,slang,TU Marketplace,0,0,0,0,1,0,0,1,60,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
21,ร้านกาแฟแถวรังสิตรับพาร์ทไทม์ ชั่วโมงละ 60 บาท มีสัมภาษณ์หน้าร้าน 👍,normal,tu_job_real,0.23,thai_english_mix,SMS,0,0,0,0,1,0,0,1,67,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
22,รีบโอนก่อนนะ เหลือคนเดียวแล้ว 😅‼️,suspicious,marketplace_risk,0.72,emoji,LINE,0,0,0,0,1,1,0,0,33,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
23,วันนี้ห้องเรียน บร.2 เปิดไหมครับ ‼️🙏,normal,tu_general,0.25,thai_english_mix,SMS,0,0,0,0,0,0,0,0,36,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
24,ขายหนังสือ EL171 มือสอง นัดรับ หน้าโดม ได้,normal,tu_marketplace,0.22,emoji,Email,0,0,0,0,0,0,0,0,42,typo,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
25,หอพักแถวเชียงรากเดือนละไม่เกิน 4500 มีแนะนำไหม ⚠️ inbox ได้,normal,tu_general,0.12,thai_english_mix,Email,0,0,0,0,0,0,0,0,59,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
26,รุ่นพี่ฝากบอกให้โอนค่าชีทด่วน ไม่งั้นหมดสิทธิ์ now,scam,tu_scam,0.96,slang,TU Marketplace,0,0,0,0,1,1,0,0,50,thai_english_mix,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
27,รีบโอนก่อนนะ เหลือคนเดียวแล้ว 👍‼️,suspicious,marketplace_risk,0.58,thai_english_mix,Web Form,0,0,0,0,1,1,0,0,33,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
28,รับหิ้วของจากญี่ปุ่น  สนใจทักได้  นัดรับได้ในมอ,normal,tu_general,0.07,thai_english_mix,TU Marketplace,0,0,0,0,0,0,0,0,47,spacing_noise,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
29,มีลิงก์ Google Meet สำหรับประชุมไหมครับ 💬,normal,meeting,0.03,slang,Web Form,1,0,0,0,0,0,0,0,41,emoji,มีลิงก์หรือการชวนคลิกลิงก์; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
30,ราคาถูกกว่าปกติมาก แต่ไม่ให้วิดีโอคอลดูของ 🔥💸,suspicious,marketplace_risk,0.55,formal,TU Marketplace,0,0,0,0,0,0,0,0,45,emoji,มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
31,ระบบ TU แจ้งเตือน ให้ update password ผ่าน example.invalid/verify ด่วน ทัก DM,scam,phishing,0.89,emoji,Discord,1,0,0,1,0,1,0,0,77,none,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
32,งานออนไลน์ได้เงินวันละ  3000  ไม่ต้องสัมภาษณ์  สมัครด่วน,scam,job_scam,0.91,emoji,SMS,0,0,0,0,1,1,0,1,56,spacing_noise,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้
