id,text,kaggle_category,NOT_SAFE (ใส่ x ถ้าไม่ปกติ),note
kaggle-tu-3e7bdec1,ประกาศจากคณะให้กรอกแบบประเมินรายวิชาในระบบทางการ 😅,admin_real,,
kaggle-tu-dd4dd7a3,มีลิ้ง Google Meet สำหรับประชุมไหมคับ,meeting,,
kaggle-tu-9f55b79f,มีลิ้ง Google Meet สำหรับประชุมไหมครับ,meeting,,
kaggle-tu-ad57ad66,อาจารย์ส่ง link zoom ใน classroom แล้วนะะะ,meeting,,
kaggle-tu-0b62fab4,อาจารย์ส่ง link zoom ใน classroom แล้วนะ,meeting,,
kaggle-tu-bacbd39b,มีใครขายชีท SC135 บ้างคับ,tu_general,,
kaggle-tu-f3b34244,ใครเจอบัตรนักศึกษาที่ หอสมุดป๋วย ทักมาหน่อยครับ ส่งในกลุ่มได้เลย,tu_general,,
kaggle-tu-a1bb5fb9,ขอแนวข้อสอบ MA211 หน่อยครับ line: @fakeid,tu_general,,
kaggle-tu-24c8fa7b,ใครเจอบัตรนักศึกษาที่ คณะวิทย์ ทักมาหน่อยครับบบ,tu_general,,
kaggle-tu-c63e3fa7,มีใครขายชีท  CS251  บ้างครับ,tu_general,,
kaggle-tu-69d002f0,หอพักแถวเชียงรากเดือนละไม่เกิน 5000 มีแนะะะนำไหม,tu_general,,
kaggle-tu-40f63352,ใครเจอบัตรนักศึกษาที่ โรงอาหารกลาง ทักมาน่อยคับ,tu_general,,
kaggle-tu-6fbe79c3,ขอแนวข้อสอบ SC135 หน่อยครับ ทัก DM,tu_general,,
kaggle-tu-ea5616f3,ใครเจอบัตรนักศึกษาที่ SC3 ทักมาหน่อยครับบบ ส่งในกลุ่มได้เลย,tu_general,,
kaggle-tu-f56a0fed,ใครเจอบัตรนักศึกษาที่ หน้าโดม ทักมาน่อยครับ,tu_general,,
kaggle-tu-48cbdcee,ใครเจอบัตรนักศึกษาที่ ประตูเชียงราก ทักมาหน่อยครับ,tu_general,,
kaggle-tu-0643c772,ใครเจอบัตรนักศึกษาที่ หอสมุดป๋วย ทักมาน่อยคับ,tu_general,,
kaggle-tu-93dc9a59,ใครเจอบัตรนักศึกษาที่ คณะวิทย์ ทักมาน่อยคับ,tu_general,,
kaggle-tu-a3319974,มีใครขายชีท EL171 บ้างครับ ทัก DM,tu_general,,
kaggle-tu-b51c9699,ขอแนวข้อสอบ CS332 หน่อยครับ line: @fakeid,tu_general,,
kaggle-tu-29b9dd44,ใครเจอบัตรนักศึกษาที่ หน้าโดม ทักมาหน่อยครับ,tu_general,,
kaggle-tu-492639a4,ใครเจอบัตรนักศึกษาที่ โรงอาหารกลาง ทักมาหน่อยครับบบ,tu_general,,
kaggle-tu-0a20136f,มีใครขายชีท TU100 บ้างครับ ทัก DM,tu_general,,
kaggle-tu-7731fd6a,ใครเจอบัตรนักศึกษาที่ หน้าโดม ทักมาหน่อยคับ,tu_general,,
kaggle-tu-1eb9961d,ใครเจอบัตรนักศึกษาที่ บร.2 ทักมาหน่อยครับ ทัก DM,tu_general,,
kaggle-tu-40bb07c6,มีใครขายชีท CS332 บ้างครับ inbox ได้,tu_general,,
kaggle-tu-2ea35d12,ใครเจอบัตรนักศึกษาที่ ประตูเชียงราก ทักมาน่อยครับ,tu_general,,
kaggle-tu-bbbe8e62,หอพักแถวเชียงรากเดือนละไม่เกิน 3500 มีแนะะะนำไหม,tu_general,,
kaggle-tu-57f7514d,มีใครขายชีท SC135 บ้างครับ line: @fakeid,tu_general,,
kaggle-tu-6402ab0a,ใครเจอบัตรนักศึกษาที่ BRT ทักมาน่อยคับ,tu_general,,
kaggle-tu-48f8bd23,มีใครขายชีท CS222 บ้างครับ ✅,tu_general,,
kaggle-tu-6695b3d0,รับหิ้วของจากญี่ปุ่น สนใจทักได้ นัดรับได้ในมอ ส่งในกลุ่มได้เลย,tu_general,,
kaggle-tu-e9c7d846,หอพักแถวเชียงรากเดือนละไม่เกิน 4500 มีแนะนำไหม line: @fakeid,tu_general,,
kaggle-tu-0d953d1f,ใครเจอบัตรนักศึกษาที่ BRT ทักมาหน่อยครับ,tu_general,,
kaggle-tu-7b4f5f9b,ใครเจอบัตรนักศึกษาที่ หอสมุดป๋วย ทักมาน่อยครับ,tu_general,,
kaggle-tu-73576889,หอพักแถวเชียงรากเดือนละไม่เกิน 3500 มีแนะนำไหม inbox ได้,tu_general,,
kaggle-tu-4340f576,มีใครขายชีท TU100 บ้างคับ ส่งในกลุ่มได้เลย,tu_general,,
kaggle-tu-1a1a6ed2,ใครเจอบัตรนักศึกษาที่ SC3 ทักมาหน่อยครับ 📌,tu_general,,
kaggle-tu-1089733f,ใครเจอบัตรนักศึกษาที่ คณะวิทย์ ทักมาหน่อยครับ,tu_general,,
