id,date,title,category,url,n_images,image1,body
wp-afnc-35473c00,2026-08-29,ตำรวจไซเบอร์ เปิดลงทะเบียนยื่นหลักฐาน ขอเงินคืนจากมิจฉาชีพ ผ่านเพจเฟซบุ๊ก เตือนภัย ป้องกันภัยออนไลน์,prize_scam,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%b2%e0%b8%8a%e0%b8%8d%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%ad%e0%b8%99%e0%b9%84%e0%b8%a5%e0%b8%99%e0%b9%8c/request-a-refund/,1,https://www.antifakenewscenter.com/wp-content/uploads/2026/08/Web2-194.webp,เพจเฟซบุ๊กดังกล่าว แอบอ้างและไม่มีความเกี่ยวข้องกับสำนักงานตำรวจแห่งชาติหรือตำรวจไซเบอร์แต่อย่างใด มิจฉาชีพมักใช้วิธีการแอบอ้างชื่อหน่วยงานราชการเพื่อหลอกให้ผู้เสียหายโอนเงินหรือส่งข้อมูลส่วนตัวเพิ่มเติม ขอให้ประชาชนอย่าหลงเชื่อหรือคลิกลิงก์ในโพสต์ดังกล่าว และหากถูกมิจฉาชีพโกงให้แจ้งความผ่านช่องทาง 
wp-afnc-adbc8510,2026-08-29,มิจหลอกตุ๋นพรีออเดอร์กันดั้ม,financial_fraud,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%b2%e0%b8%8a%e0%b8%8d%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%ad%e0%b8%99%e0%b9%84%e0%b8%a5%e0%b8%99%e0%b9%8c/gundam-pre-order/,1,https://www.antifakenewscenter.com/wp-content/uploads/2026/08/Web-64.webp,สายสะสมต้องระวัง! มิจฉาชีพอาจสร้างเพจปลอม เปิดรับพรีออเดอร์กันดั้ม โดยใช้รูปสินค้าจริงและตั้งราคาน่าสนใจเพื่อดึงดูดนักสะสม ก่อนเร่งให้โอนเงินเต็มจำนวนหรือมัดจำล่วงหน้า บางรายอาจส่งสินค้าปลอม คุณภาพไม่ตรงกับที่โฆษณา หรือโกงเงินแล้วปิดเพจหนี ก่อนสั่งพรีออเดอร์ควรตรวจสอบประวัติร้าน แหล่งที่มาของสินค้า 
wp-afnc-84e56739,2026-08-28,สแกน QR Code เพื่อรับข้อมูลจากเจ้าหน้าที่แนะนำการลงทุน ผ่านการรับรองโดย ก.ล.ต.,,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%b2%e0%b8%8a%e0%b8%8d%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%ad%e0%b8%99%e0%b9%84%e0%b8%a5%e0%b8%99%e0%b9%8c/investment-advice/,1,https://www.antifakenewscenter.com/wp-content/uploads/2026/08/Web2-191.webp,การสแกน QR Code เพื่อรับข้อมูลหรือคำแนะนำการลงทุนจากเจ้าหน้าที่ โดยกล่าวอ้างว่า “ผ่านการรับรองโดย ก.ล.ต.” อาจทำให้ประชาชนเข้าใจผิดคิดว่า ผู้ให้บริการหรือผู้ให้ข้อมูลดังกล่าวเกี่ยวข้องกับสำนักงาน ก.ล.ต. ทั้งที่ยังไม่ได้ตรวจสอบการได้รับอนุญาต ก่อนตัดสินใจลงทุน ควรตรวจสอบว่าผู้ชักชวนหรือผู้ให้บริการได้
wp-afnc-bd49fab2,2026-08-28,สินค้า OTOP จากมิจส่งตรงจากใจ,financial_fraud,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%b2%e0%b8%8a%e0%b8%8d%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%ad%e0%b8%99%e0%b9%84%e0%b8%a5%e0%b8%99%e0%b9%8c/otop/,1,https://www.antifakenewscenter.com/wp-content/uploads/2026/08/Web-61.webp,สินค้า OTOP จากชุมชนที่หลายคนเลือกสั่งซื้อผ่านช่องทางออนไลน์ อาจถูกมิจฉาชีพนำชื่อ รูปภาพ มาสวมรอยแอบอ้าง เปิดเพจปลอมขายในราคาพิเศษ หรือจัดชุดของฝากราคาถูกเพื่อดึงดูดลูกค้า เมื่อสั่งซื้ออาจได้สินค้าที่ไม่มีมาตรฐาน ไม่ตรงตามที่โฆษณา หรือไม่รู้แหล่งที่มาแน่ชัด ก่อนโอนเงินควรตรวจสอบว่าร้านเป็นผู้ผลิตหรื
wp-afnc-8744842c,2026-08-27,กรมการขนส่งทางบก เปิดรับทำใบขับขี่ถูกกฎหมาย ผ่านบัญชี TikTok,,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%b2%e0%b8%8a%e0%b8%8d%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%ad%e0%b8%99%e0%b9%84%e0%b8%a5%e0%b8%99%e0%b9%8c/driving-license/,1,https://www.antifakenewscenter.com/wp-content/uploads/2026/08/Web2-181.webp,การเปิดรับทำใบขับขี่ออนไลน์ โดยให้ติดต่อผ่านบัญชี TikTok ไม่เป็นความจริง อย่าหลงเชื่อ กรมการขนส่งทางบกยืนยันว่า ปัจจุบันการขอรับใบอนุญาตขับรถ ต้องดำเนินการด้วยตนเองทุกขั้นตอนตามที่หน่วยงานกำหนดเท่านั้น และขอย้ำว่า กรมการขนส่งทางบก ไม่มีนโยบายเปิดรับทำใบขับขี่ผ่าน TikTok หรือช่องทางสื่อสังคมออนไลน์อื
wp-afnc-f3b05c58,2026-08-27,ขายสมุนไพรเถื่อน ทานเท่าไหร่ก็ไม่หาย,other,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%b2%e0%b8%8a%e0%b8%8d%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%ad%e0%b8%99%e0%b9%84%e0%b8%a5%e0%b8%99%e0%b9%8c/%e0%b8%82%e0%b8%b2%e0%b8%a2%e0%b8%aa%e0%b8%a1%e0%b8%b8%e0%b8%99%e0%b9%84%e0%b8%9e%e0%b8%a3%e0%b9%80%e0%b8%96%e0%b8%b7%e0%b9%88%e0%b8%ad%e0%b8%99-%e0%b8%97%e0%b8%b2%e0%b8%99%e0%b9%80%e0%b8%97%e0%b9%88%e0%b8%b2%e0%b9%84%e0%b8%ab%e0%b8%a3%e0%b9%88%e0%b8%81%e0%b9%87%e0%b9%84%e0%b8%a1%e0%b9%88%e0%b8%ab%e0%b8%b2%e0%b8%a2/,1,https://www.antifakenewscenter.com/wp-content/uploads/2026/08/Web-59.webp,มิจฉาชีพมักนำชื่อแพทย์หรือโรงพยาบาลที่คนรู้จักมาก ๆ มาแอบอ้าง เพื่อขายสมุนไพรหรือผลิตภัณฑ์ที่อ้างสรรพคุณเกินจริง พร้อมจัดฉากรีวิว สร้างภาพ–คลิปด้วย AI ให้ดูเหมือนมีผู้ใช้จริงหรือมีผู้เชี่ยวชาญรับรองแล้ว ระวัง!! โฆษณาที่อ้างว่า ช่วยรักษาได้สารพัดโรค เห็นผลเร็ว หายขาดชัวร์ โดยไม่มีข้อมูลที่น่าเชื่อถือ
wp-afnc-727b23c1,2026-08-26,เจ้าหน้าที่กรมขนส่งทางบก เปิดรับทำใบขับขี่ ผ่านบัญชี TikTok บัญชี dltsmart875,impersonation_authority,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%b2%e0%b8%8a%e0%b8%8d%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%ad%e0%b8%99%e0%b9%84%e0%b8%a5%e0%b8%99%e0%b9%8c/drivers-license-online/,1,https://www.antifakenewscenter.com/wp-content/uploads/2026/08/Web2-175.webp,การรับทำหรือจัดหาใบอนุญาตขับรถผ่านบัญชี TikTok หรือช่องทางออนไลน์ โดยไม่ต้องอบรมและทดสอบนั้น ไม่เป็นความจริง โดยผู้ขอใบอนุญาตขับรถต้องดำเนินการด้วยตนเองตามทุกขั้นตอนที่สำนักงานขนส่ง เท่านั้น ทั้งนี้ หากพบการเรียกเก็บเงินค่าดำเนินการ พร้อมขอข้อมูลส่วนบุคคลหรือภาพบัตรประชาชน อาจเป็นมิจฉาชีพที่แอบอ้างเ
wp-afnc-046f883c,2026-08-26,จัดเซทหลอก…ขายของไหว้วันสารทจีน,financial_fraud,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%b2%e0%b8%8a%e0%b8%8d%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%ad%e0%b8%99%e0%b9%84%e0%b8%a5%e0%b8%99%e0%b9%8c/hungry-ghost-festival/,1,https://www.antifakenewscenter.com/wp-content/uploads/2026/08/Web-57.webp,ใกล้วันสารทจีนแบบนี้ มิจฉาชีพอาจอาศัยช่วงที่คนกำลังมองหาของไหว้ เปิดเพจปลอมขายเป็ด ไก่ต้ม และชุดของไหว้ครบเซท พร้อมยิงโฆษณาล่อด้วยราคาและโปรโมชัน ก่อนเร่งให้รีบโอนเงินเพราะอ้างว่าสินค้ามีออเดอร์จำกัด ก่อนสั่งซื้อควรตรวจสอบตัวตนร้านให้ดี เช็กรีวิวให้รอบคอบก่อนทุกครั้ง
wp-afnc-e133fd8a,2026-08-25,กรมการขนส่งทางบก ส่ง SMS แจ้งชำระใบสั่งจราจร ผ่านเว็บไซต์ https://mflwec.cc,,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%b2%e0%b8%8a%e0%b8%8d%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%ad%e0%b8%99%e0%b9%84%e0%b8%a5%e0%b8%99%e0%b9%8c/notify-us-of-your-traffic-fine-payment/,1,https://www.antifakenewscenter.com/wp-content/uploads/2026/08/Web2-169.webp,กรมการขนส่งทางบก ไม่มีนโยบายส่ง SMS แจ้งค่าปรับจราจรค้างชำระหรือส่งลิงก์ให้ประชาชนชำระเงิน รวมถึงไม่มีนโยบายโทรศัพท์ขอข้อมูลส่วนบุคคล ขอให้โอนเงิน หรือส่งลิงก์ผ่าน SMS และ Line จึงไม่ใช่การติดต่อจากกรมการขนส่งทางบก หากได้รับ SMS หรือสายที่อ้างเป็นเจ้าหน้าที่ ห้ามกดลิงก์ ห้ามดาวน์โหลดแอปฯ ที่ไม่รู้จั
wp-afnc-2c48fa6f,2026-08-25,ลักพาตัวเสมือน…หลอกด้วยภาพเจน AI,financial_fraud,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%b2%e0%b8%8a%e0%b8%8d%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%a3%e0%b8%a1%e0%b8%ad%e0%b8%ad%e0%b8%99%e0%b9%84%e0%b8%a5%e0%b8%99%e0%b9%8c/virtual-abduction/,1,https://www.antifakenewscenter.com/wp-content/uploads/2026/08/Web-55.webp,มิจฉาชีพอาจนำภาพและเสียงจากช่องทางสื่อออนไลน์มาใช้ร่วมกับระบบ AI เพื่อสร้างสถานการณ์ลักพาตัวเสมือนจริง เจนภาพหรือคลิปเป็นคนใกล้ชิดกับผู้เกี่ยวข้อง พร้อมใช้เสียงร้องหรือข้อความเร่งด่วนเพื่อกดดันให้ครอบครัวตื่นตระหนกและรีบโอนเงิน หากได้รับการติดต่อในลักษณะนี้ อย่าเพิ่งรีบโอนเงิน ให้ตั้งสติ ตรวจเช็กตัว
